Scenario,Experiment,Independent_run,Solution,Initial_UOI,Final_UOI,UOI_std,Gap(%),LB,LB_std,UB,UB_std,SAOFI,SAODI,CAODI,CBLSAOFI,CBLSAODI,CBLODI,ASOFI,ASODI,Actions,CPU_Time(ms)
1,5,10,2,0.013472892609300837,0.0025562791847233575,5.560798765483879E-4,7.7843855788737635,0.0023572885565120005,30.0,0.0027552698129347146,4.711497705132568,0.09452054794520545,1.4178082191780823,15.000000000000005,0.040860215053763436,0.6129032258064517,15.000000000000005,0.08598984923110291,1.2898477384665439,7.0,454042.0
1,5,10,3,0.013472892609300837,0.002980600931766899,7.150598005712182E-4,8.584874971408592,0.002724720068378071,30.0,0.0032364817951557267,3.7418132585674093,0.09071537290715372,1.5319634703196348,16.887583892617453,0.03763440860215053,0.6451612903225808,17.14285714285715,0.07972930395107092,1.3863745435555004,6.0,454042.0
1,5,10,4,0.013472892609300837,0.002799754496387604,6.64759839313739E-4,8.496504022994934,0.0025618732429680494,30.0,0.0030376357498071585,3.6050722195363023,0.09071537290715372,1.4086757990867582,15.52852348993289,0.039784946236559135,0.6129032258064517,15.40540540540541,0.08324070069483415,1.2776745615948086,7.0,454042.0
2,1,1,0,0.022411066176506903,0.00521214790209567,8.100312749700451E-5,0.5561353485757465,0.005183161305192067,30.0,0.005241134498999273,13.11779551701332,0.24018264840182652,3.630136986301369,15.114068441064633,0.1311827956989247,1.9838709677419364,15.122950819672143,0.29640299917732976,4.47573637783898,2.0,253962.0
2,1,1,1,0.022411066176506903,0.005058428917571354,1.2108177491732427E-4,0.8565615410840033,0.005015100360880366,30.0,0.005101757474262342,7.61896471046976,0.22328767123287668,3.376712328767124,15.122699386503074,0.12150537634408597,1.8387096774193556,15.132743362831873,0.2806961465757407,4.239334950255763,1.0,253962.0
2,1,1,2,0.022411066176506903,0.005795986605200079,1.0242870590842322E-4,0.6323969354649216,0.005759332963528836,30.0,0.005832640246871321,6.575270271269072,0.2894977168949771,4.431506849315068,15.307570977917981,0.1580645161290322,2.419354838709679,15.306122448979607,0.3668361456240092,5.614602307873796,3.0,253963.0
2,1,1,3,0.022411066176506903,0.005803582742515777,5.1764160902556464E-5,0.319174687515864,0.005785059175432628,30.0,0.005822106309598926,15.241856065624454,0.2954337899543378,4.431506849315068,15.000000000000004,0.1612903225806451,2.4193548387096784,15.00000000000001,0.3764926343872183,5.647389515808274,3.0,253963.0
2,1,1,4,0.022411066176506903,0.005707293073476217,7.133190023415239E-5,0.44724867543407043,0.005681767280801954,30.0,0.00573281886615048,13.64466233368078,0.2803652968036528,4.2602739726027385,15.195439739413686,0.1526881720430107,2.322580645161291,15.211267605633813,0.35977946864408844,5.450009248268101,3.0,253963.0
2,1,2,0,0.022482506561911995,0.005194620744750348,1.356107346720049E-4,0.9341909747036374,0.005146093066582807,30.0,0.005243148422917889,6.91223018978408,0.23287671232876714,3.5821917808219177,15.38235294117647,0.12688172043010748,1.9516129032258074,15.381355932203403,0.2921258625749545,4.49190291979261,2.0,376240.0
2,1,2,1,0.022482506561911995,0.005133354394174668,9.076555790808819E-5,0.6327254123979547,0.005100874356414278,30.0,0.005165834431935058,10.425340863715396,0.22876712328767118,3.4863013698630136,15.239520958083835,0.12473118279569888,1.9032258064516137,15.258620689655185,0.2874915977357579,4.36914464286584,1.0,376240.0
2,1,2,2,0.022482506561911995,0.0052848620708835685,8.402515418625133E-5,0.568946073947467,0.005254794055617738,30.0,0.005314930086149399,11.62297426846867,0.24337899543378988,3.732876712328767,15.337711069418392,0.13333333333333325,2.048387096774195,15.362903225806471,0.3011159954593505,4.598610965870716,2.0,376240.0
2,1,2,3,0.022482506561911995,0.0053248919750586024,1.3217929554815752E-4,0.8882763006029478,0.005277592221611449,30.0,0.005372191728505756,6.88765931373359,0.24170471841704713,3.762557077625571,15.566750629722927,0.13333333333333328,2.0806451612903234,15.604838709677432,0.29733799655152443,4.599148913909439,2.0,376240.0
2,1,2,4,0.022482506561911995,0.005260788269046162,1.0817228086858912E-4,0.7358013969576731,0.0052220793154715344,30.0,0.005299497222620789,7.8606590628190425,0.24459665144596643,3.6963470319634704,15.112009956440579,0.13548387096774187,2.0483870967741944,15.119047619047633,0.3010767847003865,4.541582546073398,2.0,376240.0
2,1,3,0,0.022248229709891088,0.0054246073353249715,1.029152088913721E-4,0.6789013886409183,0.005387779600797133,30.0,0.00546143506985281,9.560579798484362,0.2491628614916286,3.874429223744293,15.549786194257791,0.13763440860215048,2.145161290322582,15.585937500000014,0.31162168311329974,4.815481785255966,1.0,309794.0
2,1,3,1,0.022248229709891088,0.005769376846953429,1.8228668765434434E-4,1.130632565024505,0.005704146393522789,30.0,0.005834607300384069,6.241628952240362,0.2724505327245053,4.333333333333332,15.905027932960891,0.1526881720430107,2.4354838709677433,15.950704225352128,0.3405770463178623,5.361321721248343,2.0,309794.0
2,1,3,2,0.022248229709891088,0.0053023849040036404,1.2577742750542972E-4,0.8488420815235276,0.0052573760296141065,30.0,0.005347393778393174,8.19154696578292,0.24003044140030436,3.7100456621004563,15.456563094483199,0.13225806451612898,2.0483870967741944,15.487804878048793,0.2983315025952474,4.580584624959781,2.0,309794.0
2,1,3,3,0.022248229709891088,0.005488372068185108,1.5434753296313033E-4,1.0063558854965593,0.0054331395128589775,30.0,0.005543604623511238,5.6057883980256396,0.25357686453576866,3.9634703196347023,15.630252100840332,0.13978494623655907,2.193548387096775,15.692307692307706,0.31489877322159515,4.928487877415707,2.0,309794.0
2,1,3,4,0.022248229709891088,0.005348734781163376,8.563263814942893E-5,0.5729064398996639,0.005318091535148938,30.0,0.0053793780271778145,10.96834160435818,0.2442922374429223,3.773972602739726,15.448598130841125,0.13763440860215048,2.1290322580645173,15.468750000000016,0.3063854530665421,4.7023055463279375,2.0,309794.0
