Scenario,Experiment,Deterministic_CPU_Time(s),Solution_Number,Deterministic_obj1,Deterministic_obj2,Deterministic_obj3,UOI,UOI_std,Error(%),LB,UB,N,R,SAOFI,SAODI,CAODI,CBLSAOFI,CBLSAODI,CBLODI,ASOFI,ASODI,CPU_Time(ms)
1,3,2694.0,4,211.0,10.0,13.0,0.024021430041918628,5.439157651542963E-4,0.8102671510926074,0.02382679228506627,0.024216067798770988,30.0,10.154503881114858,1.4298325722983256,28.76255707762557,20.116031509474134,1.0838709677419351,22.80645161290322,21.041666666666668,2.2871590806198085,40.51810117738252,2899.0
1,4,2439.0,1,198.0,4.0,4.0,0.029066535898610236,1.8703764396321422E-4,0.23026672853264957,0.02899960533729874,0.029133466459921733,30.0,12.322481468832109,0.9375951293759514,29.748858447488587,31.728896103896105,0.7838709677419353,26.838709677419345,34.23868312757201,2.49329918937391,89.3776311208381,2147.0
1,4,2439.0,2,198.0,4.0,6.0,0.007647275538807227,0.0010555899773326428,4.9395110746295225,0.00726953751666041,0.008025013560954045,30.0,1.312943486959677,0.15844748858447485,2.376712328767123,15.0,0.12473118279569888,4.290322580645164,34.396551724137964,0.22138076270523538,4.543673529429671,7515.0
1,4,2439.0,3,198.0,12.0,18.0,0.027005518045393483,0.023537633174566478,1.8303424071583543,0.026511224596335845,0.02749981149445112,8711.0,0.7437189876597263,1.574242717311722,29.52079955590674,18.75238121242089,0.9312882117900403,25.37242492806663,27.24443905426225,2.3103679180335264,51.35730910552379,2339041.0
1,5,2527.0,1,207.0,3.0,3.0,0.007638088032633152,0.0010719866040704883,5.022270992832434,0.007254482552963211,0.008021693512303092,30.0,0.9662210147957496,0.12602739726027398,3.7397260273972615,29.67391304347827,0.08817204301075267,2.4677419354838723,27.987804878048802,0.19407994582957797,3.792195525819209,559.0
1,5,2527.0,2,207.0,3.0,5.0,0.020958920291329956,0.01839614542821011,1.8733673608128263,0.020566282719413402,0.02135155786324651,8433.0,0.9066520552492655,1.3032866641000964,24.090226101307586,18.48421131351144,0.84675411115316,15.442788124993301,18.237629934813537,1.8162512619416173,29.63644625160703,850846.0
1,5,2527.0,3,207.0,10.0,14.0,0.030292925759771775,0.012311894497673918,1.4457355243130403,0.02985497017070898,0.03073088134883457,3036.0,1.3607704110759495,1.279552523447714,31.461909145054175,24.588212338701855,0.8318776828594486,19.78244931786309,23.78047845912158,1.7768182739853764,33.92816550532221,244687.0
2,1,3491.0,1,199.0,4.0,5.0,0.027786305480165165,0.0012998486315601984,1.6740075766432072,0.027321160621157973,0.028251450339172358,30.0,5.216706679847253,1.908675799086758,31.698630136986303,16.607655502392344,1.2784946236559138,21.82258064516129,17.06896551724138,2.9854954796740842,49.41105638788482,2691.0
2,1,3491.0,2,199.0,4.0,6.0,0.016468416671478324,0.0011887976755326722,1.9620519407050478,0.01614529778257219,0.016791535560384457,52.0,6.43141633526328,1.060326659641728,17.70416227608009,16.696894409937897,0.6985111662531017,12.0409429280397,17.238010657193602,1.4613676934997986,22.694226146548928,5090.0
2,1,3491.0,3,199.0,14.0,18.0,0.046361846805262806,0.02052228785601282,1.0258338041458837,0.04588625130850809,0.04683744230201752,7153.0,1.4119518101155777,2.55910889641727,60.75653667682308,23.741286180467625,1.6590467342825135,38.858160122304206,23.42198041763372,3.8110338599713858,77.61445718871694,2181097.0
