SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
10,2020-04-06 13:00:00.0,1297,0,217,26,0,0
11,2020-04-06 13:00:00.0,780,0,32,25,0,0
12,2020-04-06 13:00:00.0,1640,0,30,52,0,0
13,2020-04-06 13:00:00.0,0,0,3,0,0,0
14,2020-04-06 13:00:00.0,172,0,7,12,0,0
15,2020-04-06 13:00:00.0,338,0,37,5,0,0
16,2020-04-06 13:00:00.0,2475,0,399,132,0,0
17,2020-04-06 13:00:00.0,258,0,7,137,0,0
18,2020-04-06 13:00:00.0,413,0,23,0,0,0
19,2020-04-06 13:00:00.0,2396,5594,5284,3182,0,0
20,2020-04-06 13:00:00.0,607,0,28,6,0,0
21,2020-04-06 13:00:00.0,261,0,43,0,0,0
211,2020-04-06 13:00:00.0,1213,0,38,91,0,0
201,2020-04-06 13:00:00.0,8,0,0,13,0,0
202,2020-04-06 13:00:00.0,939,0,49,167,0,0
203,2020-04-06 13:00:00.0,413,0,53,2,0,0
204,2020-04-06 13:00:00.0,3585,0,18,1,1,0
205,2020-04-06 13:00:00.0,537,0,150,1,0,0
206,2020-04-06 13:00:00.0,367,0,124,11,0,0
207,2020-04-06 13:00:00.0,679,0,8,33,0,0
208,2020-04-06 13:00:00.0,639,0,107,12,0,0
209,2020-04-06 13:00:00.0,3581,0,273,106,1,1
210,2020-04-06 13:00:00.0,0,864,0,7,0,0
154,2020-04-06 13:00:00.0,182,0,11,18,0,0
155,2020-04-06 13:00:00.0,461,0,42,0,0,0
156,2020-04-06 13:00:00.0,316,0,21,216,0,0
157,2020-04-06 13:00:00.0,3531,0,625,5,1,0
158,2020-04-06 13:00:00.0,777,0,14,131,0,0
159,2020-04-06 13:00:00.0,757,0,2371,5,0,0
160,2020-04-06 13:00:00.0,98,0,37,0,0,0
161,2020-04-06 13:00:00.0,961,0,201,2,0,0
117,2020-04-06 13:00:00.0,2061,0,50,14,0,0
118,2020-04-06 13:00:00.0,1299,0,75,3,0,0
119,2020-04-06 13:00:00.0,2673,0,535,42,0,0
120,2020-04-06 13:00:00.0,291,0,75,225,0,0
121,2020-04-06 13:00:00.0,951,0,173,0,0,0
122,2020-04-06 13:00:00.0,458,0,221,4,0,0
123,2020-04-06 13:00:00.0,111,0,153,10,0,0
124,2020-04-06 13:00:00.0,1721,0,35,17,0,0
125,2020-04-06 13:00:00.0,864,0,477,11,0,0
126,2020-04-06 13:00:00.0,0,7170,0,123,1,1
127,2020-04-06 13:00:00.0,3585,0,3,36,1,0
186,2020-04-06 13:00:00.0,332,0,21,122,0,0
187,2020-04-06 13:00:00.0,363,0,39,147,0,0
188,2020-04-06 13:00:00.0,199,0,46,21,0,0
189,2020-04-06 13:00:00.0,58,0,0,9,0,0
190,2020-04-06 13:00:00.0,588,0,9,168,0,0
191,2020-04-06 13:00:00.0,161,0,6,93,0,0
192,2020-04-06 13:00:00.0,4,0,0,22,0,0
193,2020-04-06 13:00:00.0,395,0,49,269,0,0
194,2020-04-06 13:00:00.0,1110,0,0,378,0,0
195,2020-04-06 13:00:00.0,453,0,46,2,0,0
196,2020-04-06 13:00:00.0,142,0,61,10,0,0
197,2020-04-06 13:00:00.0,385,0,57,295,0,0
198,2020-04-06 13:00:00.0,1137,0,25,19,0,0
199,2020-04-06 13:00:00.0,149,0,75,12,0,0
200,2020-04-06 13:00:00.0,70,0,123,0,0,0
178,2020-04-06 13:00:00.0,305,0,131,5,0,0
179,2020-04-06 13:00:00.0,596,0,9,29,0,0
180,2020-04-06 13:00:00.0,3329,0,14,398,0,0
181,2020-04-06 13:00:00.0,1512,0,20,110,0,0
182,2020-04-06 13:00:00.0,282,0,208,0,0,0
183,2020-04-06 13:00:00.0,148,0,102,0,0,0
184,2020-04-06 13:00:00.0,180,0,354,0,0,0
185,2020-04-06 13:00:00.0,1492,0,50,38,0,0
